"location_id","length"
"X1",12.335514396918
"X10",10.700808017489
"X11",16.0261398425
"X12",22.615109727683
"X13",16.657958872586
"X14",7.41133751164423
"X15",7.56177061404567
"X2",4.37258884313516
"X3",5.45570718042553
"X4",14.1005961317616
"X5",3.31955712632509
"X6",2.68773809623905
"X7",10.700808017489
"X8",6.47865227675531
"X9",15.6651003967365
"EX1",27.2283915346605
"EX10",20.4990174205694
"EX11",6.9901248249202
"EX13",66.5114890084229
"EX14",68.4871770866285
"EX15",38.6111629497027
"EX16",14.0303940173076
"EX17",35.7629628775688
"EX19",27.9003260587202
"EX2",24.1294696251908
"EX20",6.66920087313047
"EX21",14.9430215052096
"EX22",6.41847903579474
"EX23",20.0076026193914
"EX24",38.6111629497027
"EX25",29.8860430104192
"EX26",52.1501421658322
"EX27",8.12338752967771
"EX28",9.39705446334323
"EX29",12.4358031318523
"EX3",18.5433870893507
"EX30",48.0182462865394
"EX31",31.7514134801971
"EX32",9.05607276456663
"EX33",38.9320869014924
"EX34",10.3197108247387
"EX35",23.3973618601705
"EX36",26.9876985708182
"EX37",19.5462744386937
"EX38",7.4013086381508
"EX39",7.59185723452596
"EX4",16.7482187340269
"EX40",41.2086411845009
"EX41",20.4990174205694
"EX42",28.6224049502471
"EX43",28.4418852273654
"EX44",16.5576701376517
"EX45",17.5003842460341
"EX46",10.2896242042584
"EX47",5.82677549968241
"EX48",9.85838264404098
"EX49",41.1384390700469
"EX5",28.5321450888063
"EX50",7.99301217426313
"EX51",10.1291622283636
"EX52",15.9057933605788
"EX53",16.2768616798357
"EX54",21.913088583143
"EX55",33.3058888716786
"EX56",15.9459088545525
"EX57",23.176726643315
"EX58",23.0563801613939
"EX59",46.1227891962812
"EX6",36.1741466907994
"EX60",14.742444035341
"EX61",30.277169076663
"EX62",36.9563988232869
"EX63",33.4563219740801
"EX65",19.2955526013579
"EX66",17.941654679745
"EX67",19.6565920471214
"EX68",15.6550715232431
"EX69",20.9102012338
"EX7",29.7155521610309
"EX70",62.680459333933
"EX71",21.5019047699124
"EX72",16.798363101494
"EX73",31.330200793473
"EX8",24.1294696251908
"EX9",107.529581596549
